"lineage","aligned_length_bp","n_ambiguous_bases","n_gaps","n_stop_codons","has_stop_codon","shorter_than_frame","in_synonymy_group"
"H_AFR075",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR076",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR078",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR081",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR084",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR085",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR090",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR096",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR103",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR109",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR111",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR112",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR116",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR119",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR120",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR121",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR122",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR126",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR130",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR133",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR137",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR138",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR139",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR141",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR144",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR148",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR149",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR150",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR151",478,0,1,0,FALSE,TRUE,FALSE
"H_AFTRU06",453,0,26,0,FALSE,TRUE,FALSE
"H_AGEBAD01",477,0,2,1,TRUE,TRUE,FALSE
"H_AGEBAD02",477,0,2,0,FALSE,TRUE,FALSE
"H_AGEBAD03",477,0,2,0,FALSE,TRUE,FALSE
"H_AGEBAD04",388,0,91,0,FALSE,TRUE,FALSE
"H_AGNIG01",479,0,0,0,FALSE,FALSE,FALSE
"H_AGNIG02",479,0,0,0,FALSE,FALSE,FALSE
"H_AIXSPO01",477,0,2,0,FALSE,TRUE,FALSE
"H_AKGPH02",425,0,54,0,FALSE,TRUE,FALSE
"H_AKGPH04",425,0,54,0,FALSE,TRUE,FALSE
"H_AKGPH05",425,0,54,0,FALSE,TRUE,FALSE
"H_AKGPH06",425,0,54,0,FALSE,TRUE,FALSE
"H_ALARV01_Haemoproteus_tartakovskyi",467,0,12,0,FALSE,TRUE,FALSE
"H_ALARV02_Haemoproteus_tartakovskyi",467,0,12,0,FALSE,TRUE,FALSE
"H_ALARV03_Haemoproteus_tartakovskyi",472,0,7,0,FALSE,TRUE,FALSE
"H_ALBRE01",479,0,0,0,FALSE,FALSE,FALSE
"H_ALCATT01",479,0,0,0,FALSE,FALSE,FALSE
"H_ALCATT02",455,0,24,0,FALSE,TRUE,FALSE
"H_ALCATT03",455,0,24,0,FALSE,TRUE,FALSE
"H_ALCATT04",455,0,24,0,FALSE,TRUE,FALSE
"H_ALCLEU01_Haemoproteus_enucleator",479,0,0,0,FALSE,FALSE,FALSE
"H_ALCLEU02",479,0,0,0,FALSE,FALSE,FALSE
"H_ALCLEU03",479,0,0,0,FALSE,FALSE,FALSE
"H_ALCPOI02",479,0,0,0,FALSE,FALSE,TRUE
"H_ALCPOI04",479,0,0,0,FALSE,FALSE,FALSE
"H_ALCPOI05",479,0,0,0,FALSE,FALSE,FALSE
"H_ALCPOI06",479,0,0,0,FALSE,FALSE,FALSE
"H_ALCQUA01",479,0,0,0,FALSE,FALSE,FALSE
"H_ALCQUA02",466,0,13,0,FALSE,TRUE,FALSE
"H_ALCQUA03",359,0,120,0,FALSE,TRUE,FALSE
"H_ALMOR06",326,0,153,0,FALSE,TRUE,TRUE
"H_ALMOR07",326,0,153,0,FALSE,TRUE,FALSE
"H_ALMOR08",326,0,153,0,FALSE,TRUE,FALSE
"H_ALMOR09",326,0,153,0,FALSE,TRUE,FALSE
"H_ALMOR10",326,0,153,0,FALSE,TRUE,FALSE
"H_ALNIP01",326,0,153,0,FALSE,TRUE,FALSE
"H_ALPAL01",326,0,153,0,FALSE,TRUE,FALSE
"H_ALPAL02",326,0,153,0,FALSE,TRUE,FALSE
"H_ALPOI01",326,0,153,0,FALSE,TRUE,FALSE
"H_ALPOI02",326,0,153,0,FALSE,TRUE,FALSE
"H_ALPOL01",297,0,182,0,FALSE,TRUE,FALSE
"H_AMAVIR01",478,0,1,0,FALSE,TRUE,FALSE
"H_AMBSUB01",479,0,0,0,FALSE,FALSE,FALSE
"H_AMPBIL01",479,0,0,0,FALSE,FALSE,FALSE
"H_AMPBIL02",479,0,0,0,FALSE,FALSE,FALSE
"H_AMPHO01",479,0,0,0,FALSE,FALSE,FALSE
"H_ANACRE01",479,0,0,0,FALSE,FALSE,TRUE
"H_ANACRE03",466,0,13,0,FALSE,TRUE,FALSE
"H_ANACRE05",477,0,2,0,FALSE,TRUE,FALSE
"H_ANACYA02",477,0,2,0,FALSE,TRUE,FALSE
"H_ANAGEO04",477,0,2,0,FALSE,TRUE,FALSE
"H_ANAPAR01",478,0,1,0,FALSE,TRUE,FALSE
"H_ANAPLA03",477,0,2,0,FALSE,TRUE,FALSE
"H_ANARUB03",446,0,33,0,FALSE,TRUE,FALSE
"H_ANIFLA01",477,0,2,0,FALSE,TRUE,TRUE
"H_ANIGN01",479,0,0,0,FALSE,FALSE,FALSE
"H_ANIIGN01",478,0,1,0,FALSE,TRUE,FALSE
"H_ANISOM01",478,0,1,0,FALSE,TRUE,FALSE
"H_ANISOM02",478,0,1,0,FALSE,TRUE,FALSE
"H_ANLAT02_Haemoproteus_vacuolatus",468,0,11,0,FALSE,TRUE,TRUE
"H_ANSANS01",476,0,3,0,FALSE,TRUE,FALSE
"H_ANSCAN02",392,0,87,0,FALSE,TRUE,FALSE
"H_ANSEI01",479,0,0,0,FALSE,FALSE,FALSE
"H_ANSIND01",476,0,3,0,FALSE,TRUE,FALSE
"H_ANSOM01_Haemoproteus_coatneyi",452,0,27,0,FALSE,TRUE,TRUE
"H_ANTCAM03",449,0,30,0,FALSE,TRUE,FALSE
"H_ANTCAM10",449,0,30,0,FALSE,TRUE,FALSE
"H_ANTHOD01",432,0,47,0,FALSE,TRUE,FALSE
"H_ANTPAR02",474,0,5,0,FALSE,TRUE,FALSE
"H_APPAT01",477,0,2,0,FALSE,TRUE,FALSE
"H_APSPI01",449,0,30,0,FALSE,TRUE,TRUE
"H_APSPI02",463,1,16,0,FALSE,TRUE,TRUE
"H_APSPI15",478,0,1,0,FALSE,TRUE,FALSE
"H_AQUCYR01",479,0,0,0,FALSE,FALSE,FALSE
"H_ARAPER01",479,2,0,0,FALSE,FALSE,FALSE
"H_ARBRU01_Haemoproteus_coatneyi",446,0,33,0,FALSE,TRUE,FALSE
"H_ARBRU02_Haemoproteus_coatneyi",479,0,0,0,FALSE,FALSE,FALSE
"H_AREAUR01",477,0,2,0,FALSE,TRUE,FALSE
"H_AREAUR02",477,0,2,0,FALSE,TRUE,FALSE
"H_ARGCAU1",479,0,0,0,FALSE,FALSE,TRUE
"H_ARIMON01",479,0,0,0,FALSE,FALSE,FALSE
"H_ARIMON02",445,0,34,0,FALSE,TRUE,FALSE
"H_ARITEP01",479,0,0,0,FALSE,FALSE,FALSE
"H_ARITEP03",479,0,0,0,FALSE,FALSE,FALSE
"H_ARITEP04",463,0,16,0,FALSE,TRUE,FALSE
"H_ARLON01",326,0,153,0,FALSE,TRUE,FALSE
"H_ARRFLA01",479,0,0,0,FALSE,FALSE,FALSE
"H_ARRFLA03",479,0,0,0,FALSE,FALSE,FALSE
"H_ARRTAC05",477,0,2,0,FALSE,TRUE,FALSE
"H_ARRTAC07",479,0,0,0,FALSE,FALSE,FALSE
"H_ARW1_Haemoproteus_belopolskyi",478,0,1,0,FALSE,TRUE,FALSE
"H_ARW2",463,0,16,0,FALSE,TRUE,FALSE
"H_ASCLA01",413,0,66,0,FALSE,TRUE,TRUE
"H_ASICLA01",477,0,2,0,FALSE,TRUE,FALSE
"H_ASIFLA02",479,0,0,0,FALSE,FALSE,FALSE
"H_ASIOTU01",467,0,12,1,TRUE,TRUE,FALSE
"H_ASIOTU05",478,0,1,0,FALSE,TRUE,FALSE
"H_ASOT03",282,0,197,0,FALSE,TRUE,TRUE
"H_ASOT04",290,0,189,0,FALSE,TRUE,FALSE
"H_ASOT07",432,0,47,0,FALSE,TRUE,TRUE
"H_ASTPYR01",477,0,2,0,FALSE,TRUE,FALSE
"H_ATECRO01",479,0,0,0,FALSE,FALSE,FALSE
"H_ATEPIT01",479,0,0,0,FALSE,FALSE,FALSE
"H_ATHBRA01",479,0,0,0,FALSE,FALSE,FALSE
"H_ATHNOC01",478,0,1,0,FALSE,TRUE,FALSE
"H_ATLBRU01",477,0,2,0,FALSE,TRUE,FALSE
"H_ATLLAT02",478,0,1,0,FALSE,TRUE,FALSE
"H_ATLPIL01",477,0,2,0,FALSE,TRUE,FALSE
"H_ATLPIL02",477,0,2,0,FALSE,TRUE,FALSE
"H_ATLPIL04",479,0,0,0,FALSE,FALSE,FALSE
"H_ATMEL01",464,0,15,0,FALSE,TRUE,FALSE
"H_ATNO2",479,0,0,0,FALSE,FALSE,FALSE
"H_ATNO3",474,0,5,0,FALSE,TRUE,FALSE
"H_ATPAL02_Haemoproteus_coatneyi",435,0,44,0,FALSE,TRUE,FALSE
"H_AUTINF05",477,0,2,0,FALSE,TRUE,FALSE
"H_AUTINF06",479,0,0,0,FALSE,FALSE,FALSE
"H_AUTOCH01",477,0,2,0,FALSE,TRUE,FALSE
"H_AUTOCH04",477,0,2,0,FALSE,TRUE,FALSE
"H_AUTRUF01",477,0,2,0,FALSE,TRUE,FALSE
"H_AYTAFF02",477,0,2,0,FALSE,TRUE,FALSE
"H_AYTFER01",479,0,0,0,FALSE,FALSE,FALSE
"H_AYTFER02",479,0,0,0,FALSE,FALSE,FALSE
"H_BAFLA02",478,0,1,0,FALSE,TRUE,FALSE
"H_BAREGI03",474,0,5,0,FALSE,TRUE,FALSE
"H_BAREGI04",474,0,5,0,FALSE,TRUE,FALSE
"H_BAREGI05",474,0,5,0,FALSE,TRUE,FALSE
"H_BAREGI06",474,0,5,0,FALSE,TRUE,FALSE
"H_BAREGI07",474,0,5,0,FALSE,TRUE,FALSE
"H_BAREGI08",474,0,5,0,FALSE,TRUE,FALSE
"H_BASBEL01",479,0,0,0,FALSE,FALSE,FALSE
"H_BERMAD02",479,0,0,0,FALSE,FALSE,FALSE
"H_BESUN1",479,0,0,0,FALSE,FALSE,FALSE
"H_BLBAB1",479,0,0,0,FALSE,FALSE,FALSE
"H_BLESY01",479,0,0,0,FALSE,FALSE,FALSE
"H_BLNW1",479,0,0,0,FALSE,FALSE,FALSE
"H_BLUTI09",478,0,1,0,FALSE,TRUE,TRUE
"H_BNOW01",479,0,0,0,FALSE,FALSE,FALSE
"H_BNOW02",479,0,0,0,FALSE,FALSE,FALSE
"H_BNOW03",479,0,0,0,FALSE,FALSE,TRUE
"H_BONUM01",361,0,118,0,FALSE,TRUE,FALSE
"H_BOSHAG01",455,0,24,0,FALSE,TRUE,FALSE
"H_BOSHAG02",468,0,11,0,FALSE,TRUE,FALSE
"H_BRABAB01",437,0,42,0,FALSE,TRUE,FALSE
"H_BRAM1",479,0,0,0,FALSE,FALSE,FALSE
"H_BRW1",478,0,1,0,FALSE,TRUE,FALSE
"H_BUBBUB01",479,0,0,0,FALSE,FALSE,FALSE
"H_BUBBUB02",479,0,0,0,FALSE,FALSE,TRUE
"H_BUBIBI01",478,0,1,0,FALSE,TRUE,FALSE
"H_BUBO3",432,0,47,0,FALSE,TRUE,FALSE
"H_BUBSCA02",479,0,0,0,FALSE,FALSE,FALSE
"H_BUCCLA01",477,0,2,0,FALSE,TRUE,FALSE
"H_BUCLA01",361,0,118,0,FALSE,TRUE,FALSE
"H_BUCMAC01",478,0,1,0,FALSE,TRUE,FALSE
"H_BUL1_Haemoproteus_sanguinis",479,0,0,0,FALSE,FALSE,FALSE
"H_BUL2_Haemoproteus_sanguinis",479,0,0,0,FALSE,FALSE,FALSE
"H_BUL4",361,0,118,0,FALSE,TRUE,FALSE
"H_BUPE1",479,0,0,0,FALSE,FALSE,FALSE
"H_BUTBUT04",479,0,0,0,FALSE,FALSE,FALSE
"H_BUTBUT15",432,0,47,0,FALSE,TRUE,FALSE
"H_BUTBUT16",479,0,0,0,FALSE,FALSE,FALSE
"H_BUTHEM01",479,0,0,0,FALSE,FALSE,FALSE
"H_BUTIND01",479,0,0,0,FALSE,FALSE,FALSE
"H_BUTJAM12",479,108,0,0,FALSE,FALSE,FALSE
"H_BUTJAM19",477,0,2,0,FALSE,TRUE,FALSE
"H_BUTLIV01",479,0,0,0,FALSE,FALSE,FALSE
"H_BUTVER01",455,0,24,0,FALSE,TRUE,FALSE
"H_BUVIR08",479,0,0,0,FALSE,FALSE,FALSE
"H_BWTE02",479,0,0,0,FALSE,FALSE,FALSE
"H_BWTE03",479,0,0,0,FALSE,FALSE,FALSE
"H_CAIMOS01",477,0,2,0,FALSE,TRUE,FALSE
"H_CAMPRO01",479,0,0,0,FALSE,FALSE,FALSE
"H_CAMRUB01",477,0,2,0,FALSE,TRUE,FALSE
"H_CAMRUB02",477,0,2,0,FALSE,TRUE,FALSE
"H_CAMRUB03",478,0,1,0,FALSE,TRUE,FALSE
"H_CAMVIL01",478,0,1,0,FALSE,TRUE,FALSE
"H_CANLEU03",477,0,2,0,FALSE,TRUE,FALSE
"H_CANLEU04",477,0,2,0,FALSE,TRUE,FALSE
"H_CANLEU05",477,0,2,0,FALSE,TRUE,FALSE
"H_CARCAN02",479,0,0,0,FALSE,FALSE,TRUE
"H_CARCAN03",479,0,0,0,FALSE,FALSE,FALSE
"H_CARCAR01",479,0,0,0,FALSE,FALSE,FALSE
"H_CARCAR02",478,0,1,0,FALSE,TRUE,FALSE
"H_CARCAR04",479,0,0,0,FALSE,FALSE,FALSE
"H_CARCAR10",479,2,0,0,FALSE,FALSE,TRUE
"H_CARCAR12",425,0,54,0,FALSE,TRUE,FALSE
"H_CARCAR29",479,0,0,0,FALSE,FALSE,FALSE
"H_CARCAR30",478,0,1,0,FALSE,TRUE,FALSE
"H_CARCAR31",478,0,1,0,FALSE,TRUE,FALSE
"H_CARCAR32",478,0,1,0,FALSE,TRUE,FALSE
"H_CARCAR33",479,0,0,0,FALSE,FALSE,FALSE
"H_CARCAR39",477,0,2,0,FALSE,TRUE,FALSE
"H_CARCHL01",479,0,0,0,FALSE,FALSE,FALSE
"H_CARCHL02",479,0,0,0,FALSE,FALSE,FALSE
"H_CARCHL05",479,0,0,0,FALSE,FALSE,FALSE
"H_CARCHL06",479,0,0,0,FALSE,FALSE,FALSE
"H_CARCHL07",425,0,54,0,FALSE,TRUE,FALSE
"H_CARFLA01",479,0,0,0,FALSE,FALSE,FALSE
"H_CARMEX02",285,0,194,0,FALSE,TRUE,FALSE
"H_CARMEX03",285,0,194,0,FALSE,TRUE,FALSE
"H_CARMEX04",285,0,194,0,FALSE,TRUE,FALSE
"H_CARUF01",478,0,1,0,FALSE,TRUE,FALSE
"H_CATANA01",478,0,1,0,FALSE,TRUE,FALSE
"H_CATAUR01_Haemoproteus_catharti",479,0,0,0,FALSE,FALSE,FALSE
"H_CATAUR02",368,0,111,0,FALSE,TRUE,FALSE
"H_CATGUT01",479,0,0,0,FALSE,FALSE,FALSE
"H_CATUST02",276,0,203,0,FALSE,TRUE,TRUE
"H_CATUST07",479,0,0,0,FALSE,FALSE,FALSE
"H_CATUST10",479,0,0,0,FALSE,FALSE,FALSE
"H_CATUST13",459,0,20,0,FALSE,TRUE,FALSE
"H_CATUST15",479,0,0,0,FALSE,FALSE,FALSE
"H_CATUST16",479,0,0,0,FALSE,FALSE,FALSE
"H_CATUST17",479,0,0,0,FALSE,FALSE,FALSE
"H_CATUST18",479,0,0,0,FALSE,FALSE,FALSE
"H_CATUST19",479,0,0,0,FALSE,FALSE,FALSE
"H_CATUST20",431,0,48,0,FALSE,TRUE,FALSE
"H_CATUST22",478,0,1,0,FALSE,TRUE,TRUE
"H_CATUST43",463,0,16,0,FALSE,TRUE,FALSE
"H_CATUST44",477,0,2,0,FALSE,TRUE,FALSE
"H_CATUST46",477,0,2,0,FALSE,TRUE,FALSE
"H_CCF09",479,0,0,0,FALSE,FALSE,FALSE
"H_CCF1",479,0,0,0,FALSE,FALSE,FALSE
"H_CCF10",479,0,0,0,FALSE,FALSE,FALSE
"H_CCF11",479,0,0,0,FALSE,FALSE,FALSE
"H_CCF12",479,0,0,0,FALSE,FALSE,FALSE
"H_CCF17",479,0,0,0,FALSE,FALSE,FALSE
"H_CCF18",479,0,0,0,FALSE,FALSE,FALSE
"H_CCF2",470,0,9,0,FALSE,TRUE,FALSE
"H_CCF21",479,0,0,0,FALSE,FALSE,FALSE
"H_CCF23",479,0,0,0,FALSE,FALSE,FALSE
"H_CCF24",479,0,0,0,FALSE,FALSE,FALSE
"H_CCF26",446,0,33,0,FALSE,TRUE,FALSE
"H_CCF27",472,0,7,0,FALSE,TRUE,FALSE
"H_CCF3_Haemoproteus_fringillae",474,0,5,0,FALSE,TRUE,FALSE
"H_CCF4",479,0,0,0,FALSE,FALSE,FALSE
"H_CCF5_Haemoproteus_majoris",479,0,0,0,FALSE,FALSE,FALSE
"H_CCF6",479,0,0,0,FALSE,FALSE,FALSE
"H_CCF7_Haemoproteus_magnus",361,0,118,0,FALSE,TRUE,FALSE
"H_CELEC01_Haemoproteus_fuscae",479,0,0,0,FALSE,FALSE,FALSE
"H_CENSIN01",479,0,0,0,FALSE,FALSE,FALSE
"H_CERATR01",479,0,0,0,FALSE,FALSE,FALSE
"H_CERATR02",479,0,0,0,FALSE,FALSE,FALSE
"H_CERBRA01",479,0,0,0,FALSE,FALSE,FALSE
"H_CERCIN04",477,0,2,0,FALSE,TRUE,FALSE
"H_CEYLEP01",479,0,0,0,FALSE,FALSE,FALSE
"H_CHAFA01",361,0,118,0,FALSE,TRUE,FALSE
"H_CHAFUL01",479,0,0,0,FALSE,FALSE,FALSE
"H_CHAIND02",461,0,18,0,FALSE,TRUE,FALSE
"H_CHAPOL01",479,0,0,0,FALSE,FALSE,FALSE
"H_CHAPOL02",479,0,0,0,FALSE,FALSE,FALSE
"H_CHAPOL04",475,0,4,0,FALSE,TRUE,FALSE
"H_CHASEN01",479,0,0,0,FALSE,FALSE,FALSE
"H_CHASEN02",479,0,0,0,FALSE,FALSE,FALSE
"H_CHASEN03",479,0,0,0,FALSE,FALSE,FALSE
"H_CHASEN04",479,0,0,0,FALSE,FALSE,FALSE
"H_CHASEN05",479,0,0,0,FALSE,FALSE,FALSE
"H_CHASPI01",479,0,0,0,FALSE,FALSE,FALSE
"H_CHETEN01",477,0,2,0,FALSE,TRUE,FALSE
"H_CHICAU01",479,0,0,0,FALSE,FALSE,FALSE
"H_CHIPAR01",478,0,1,0,FALSE,TRUE,FALSE
"H_CHLAME01",477,0,2,0,FALSE,TRUE,FALSE
"H_CHLFLA01",479,0,0,0,FALSE,FALSE,FALSE
"H_CHLFLA02",479,0,0,0,FALSE,FALSE,FALSE
"H_CHLFLA03",477,0,2,0,FALSE,TRUE,FALSE
"H_CHLFLA04",477,0,2,0,FALSE,TRUE,FALSE
"H_CHLFLA05",477,0,2,0,FALSE,TRUE,FALSE
"H_CHLIND01",477,0,2,0,FALSE,TRUE,FALSE
"H_CHLOP01",464,0,15,0,FALSE,TRUE,TRUE
"H_CHLOPH01",477,0,2,0,FALSE,TRUE,FALSE
"H_CHLOPH02",477,0,2,0,FALSE,TRUE,FALSE
"H_CHLOPH03",477,0,2,0,FALSE,TRUE,FALSE
"H_CHLOPH04",477,0,2,0,FALSE,TRUE,FALSE
"H_CHLOR01",479,0,0,0,FALSE,FALSE,FALSE
"H_CHLRIE01",478,0,1,0,FALSE,TRUE,FALSE
"H_CHLSPI02",477,0,2,0,FALSE,TRUE,FALSE
"H_CHOACU01",477,0,2,0,FALSE,TRUE,FALSE
"H_CHOGRA01",478,0,1,0,FALSE,TRUE,FALSE
"H_CHOGRA02",478,0,1,0,FALSE,TRUE,FALSE
"H_CHOMIN01",478,0,1,0,FALSE,TRUE,FALSE
"H_CHRCAP01",423,0,56,0,FALSE,TRUE,FALSE
"H_CHRCAP02",470,0,9,0,FALSE,TRUE,FALSE
"H_CHRKLA01",470,0,9,0,FALSE,TRUE,FALSE
"H_CHRRID01",479,0,0,0,FALSE,FALSE,TRUE
"H_CILEU01",326,0,153,0,FALSE,TRUE,FALSE
"H_CILEU02",326,0,153,0,FALSE,TRUE,FALSE
"H_CINCIN01",461,0,18,0,FALSE,TRUE,FALSE
"H_CINCIN02",461,0,18,0,FALSE,TRUE,FALSE
"H_CINCIN03",461,0,18,0,FALSE,TRUE,FALSE
"H_CINCIN04",461,0,18,0,FALSE,TRUE,FALSE
"H_CINNOT01",479,0,0,0,FALSE,FALSE,FALSE
"H_CINPRE01",479,0,0,0,FALSE,FALSE,FALSE
"H_CINSOV01",479,0,0,0,FALSE,FALSE,TRUE
"H_CIRCUM01_Haemoproteus_noctuae",478,0,1,0,FALSE,TRUE,FALSE
"H_CIRCUM02",478,0,1,0,FALSE,TRUE,FALSE
"H_CIRCUM03",478,0,1,0,FALSE,TRUE,FALSE
"H_CIRCUM05",478,0,1,0,FALSE,TRUE,FALSE
"H_CIRCUM06",478,0,1,0,FALSE,TRUE,FALSE
"H_CLAPOM07",478,0,1,0,FALSE,TRUE,FALSE
"H_CLAPOM08",478,0,1,0,FALSE,TRUE,FALSE
"H_CLAPRE01",477,0,2,0,FALSE,TRUE,FALSE
"H_CLIPIC01",479,0,0,0,FALSE,FALSE,FALSE
"H_CLIPIC02",479,0,0,0,FALSE,FALSE,FALSE
"H_CNERUB01",478,0,1,0,FALSE,TRUE,FALSE
"H_COBRA01",479,0,0,0,FALSE,FALSE,TRUE
"H_COBRA14",479,1,0,0,FALSE,FALSE,TRUE
"H_COCOR01_Haemoproteus_danilewskyii",361,0,118,0,FALSE,TRUE,TRUE
"H_COCOR14",479,0,0,0,FALSE,FALSE,FALSE
"H_COCOR15",479,0,0,0,FALSE,FALSE,FALSE
"H_COCVES01",478,0,1,0,FALSE,TRUE,FALSE
"H_COECOE01",477,0,2,0,FALSE,TRUE,FALSE
"H_COECOE08",478,0,1,0,FALSE,TRUE,FALSE
"H_COECOE09",478,1,1,0,FALSE,TRUE,FALSE
"H_COECOE10",465,0,14,0,FALSE,TRUE,FALSE
"H_COEFLA01",478,0,1,0,FALSE,TRUE,FALSE
"H_COETOR04",465,0,14,0,FALSE,TRUE,FALSE
"H_COETOR05",478,0,1,0,FALSE,TRUE,FALSE
"H_COETOR06",478,0,1,0,FALSE,TRUE,FALSE
"H_COETOR07",478,0,1,0,FALSE,TRUE,FALSE
"H_COEVIO01",462,0,17,0,FALSE,TRUE,FALSE
"H_COFLA01",479,0,0,0,FALSE,FALSE,FALSE
"H_COFLA02",263,1,216,0,FALSE,TRUE,TRUE
"H_COFLA03",479,0,0,0,FALSE,FALSE,FALSE
"H_COFLA04",479,0,0,0,FALSE,FALSE,FALSE
"H_COFLA05",479,13,0,0,FALSE,FALSE,TRUE
"H_COFLA06",479,0,0,0,FALSE,FALSE,TRUE
"H_COFLA07",479,12,0,0,FALSE,FALSE,FALSE
"H_COFLA08",479,0,0,0,FALSE,FALSE,TRUE
"H_COFLA12",479,0,0,0,FALSE,FALSE,FALSE
