"haplotype","lineage","genus","informative_length","is_partial","status"
32,"H_DENCOR01_Haemoproteus_coatneyi","Haemoproteus",361,TRUE,"dropped"
32,"H_DENPEN02","Haemoproteus",478,TRUE,"kept"
33,"H_DICADS01","Haemoproteus",460,TRUE,"kept"
33,"H_DICLEU01","Haemoproteus",305,TRUE,"dropped"
34,"H_DICBAL02","Haemoproteus",464,TRUE,"kept"
34,"H_DICBAL06","Haemoproteus",458,TRUE,"dropped"
35,"H_DICBAL01","Haemoproteus",463,TRUE,"dropped"
35,"H_DICBAL04","Haemoproteus",464,TRUE,"kept"
36,"H_DIGCAE01","Haemoproteus",479,FALSE,"kept"
36,"H_DIGCYA01","Haemoproteus",456,TRUE,"dropped"
37,"H_DUMCAR08","Haemoproteus",478,TRUE,"kept"
37,"H_DUMCAR10","Haemoproteus",413,TRUE,"dropped"
38,"H_DUNNO01","Haemoproteus",479,FALSE,"kept"
38,"H_MELGEO01","Haemoproteus",269,TRUE,"dropped"
39,"H_APSPI02","Haemoproteus",462,TRUE,"dropped"
39,"H_ELAALB01","Haemoproteus",477,TRUE,"kept"
40,"H_EUPXAN02","Haemoproteus",478,TRUE,"kept"
40,"H_THAFAN01","Haemoproteus",456,TRUE,"dropped"
41,"H_FIPAR02","Haemoproteus",479,FALSE,"kept"
41,"L_AEGCAU03","Leucocytozoon",432,TRUE,"dropped"
42,"H_FISEM01","Haemoproteus",479,FALSE,"kept"
42,"H_PSADEC01","Haemoproteus",305,TRUE,"dropped"
43,"H_GRMEL01","Haemoproteus",479,FALSE,"kept"
43,"H_JUHYE01","Haemoproteus",296,TRUE,"dropped"
44,"H_DIGCYA03","Haemoproteus",456,TRUE,"dropped"
44,"H_HEMATR01","Haemoproteus",479,FALSE,"kept"
45,"H_ILABY02","Haemoproteus",479,FALSE,"kept"
45,"H_PABY01","Haemoproteus",477,TRUE,"dropped"
46,"H_JUHYE13","Haemoproteus",479,FALSE,"kept"
46,"H_ZONALB01_Haemoproteus_fringillae","Haemoproteus",361,TRUE,"dropped"
47,"H_JUNPHA04","Haemoproteus",479,FALSE,"kept"
47,"H_TURASS05","Haemoproteus",479,FALSE,"dropped"
48,"H_LACPUL01","Haemoproteus",452,TRUE,"dropped"
48,"H_LACPUL02","Haemoproteus",479,FALSE,"kept"
49,"H_LEIPER02","Haemoproteus",479,FALSE,"kept"
49,"H_VIGRI01","Haemoproteus",294,TRUE,"dropped"
50,"H_LOXNOC01","Haemoproteus",477,TRUE,"dropped"
50,"H_LOXVIO01","Haemoproteus",479,FALSE,"kept"
51,"H_MEGASI01","Haemoproteus",479,FALSE,"kept"
51,"H_STTRA01","Haemoproteus",249,TRUE,"dropped"
52,"H_MELSTR01_Haemoproteus_velans","Haemoproteus",479,FALSE,"kept"
52,"H_PIPUB01_Haemoproteus_picae","Haemoproteus",361,TRUE,"dropped"
53,"H_GEMON01","Haemoproteus",347,TRUE,"dropped"
53,"H_MICRO01_Haemoproteus_multipigmentatus","Haemoproteus",479,FALSE,"kept"
53,"H_ZEGAL03","Haemoproteus",341,TRUE,"dropped"
54,"H_MIMPOL03","Haemoproteus",463,TRUE,"dropped"
54,"H_MIMPOL05","Haemoproteus",478,TRUE,"kept"
55,"H_CATUST02","Haemoproteus",276,TRUE,"dropped"
55,"H_MONCAC01","Haemoproteus",479,FALSE,"kept"
56,"H_MW3","Haemoproteus",478,TRUE,"kept"
56,"H_RW3_Haemoproteus_belopolskyi","Haemoproteus",470,TRUE,"dropped"
57,"H_MYIFLA01","Haemoproteus",479,FALSE,"kept"
57,"H_SITTAKRU1","Haemoproteus",432,TRUE,"dropped"
58,"H_MYIMAC01","Haemoproteus",477,TRUE,"kept"
58,"H_MYMAC03","Haemoproteus",425,TRUE,"dropped"
59,"H_ELALB01","Haemoproteus",464,TRUE,"dropped"
59,"H_MYISWA01","Haemoproteus",477,TRUE,"kept"
60,"H_NEWBR01","Haemoproteus",479,FALSE,"kept"
60,"H_NEWBR04","Haemoproteus",479,FALSE,"dropped"
61,"H_PACPOL01","Haemoproteus",479,FALSE,"kept"
61,"H_STRZON01","Haemoproteus",249,TRUE,"dropped"
62,"H_ANLAT02_Haemoproteus_vacuolatus","Haemoproteus",468,TRUE,"dropped"
62,"H_PHICT03","Haemoproteus",479,FALSE,"kept"
63,"H_PHFRU01","Haemoproteus",465,TRUE,"dropped"
63,"H_PHRFRU07","Haemoproteus",479,FALSE,"kept"
64,"H_PHFRU02","Haemoproteus",449,TRUE,"dropped"
64,"H_PHRFRU14","Haemoproteus",477,TRUE,"kept"
65,"H_GW5","Haemoproteus",448,TRUE,"dropped"
65,"H_PHSIB2_Haemoproteus_homopalloris","Haemoproteus",478,TRUE,"kept"
66,"H_PSABIF02","Haemoproteus",477,TRUE,"kept"
66,"H_PSAVIR01","Haemoproteus",261,TRUE,"dropped"
67,"H_PTIPER02","Haemoproteus",444,TRUE,"dropped"
67,"H_PTIPER04","Haemoproteus",479,FALSE,"kept"
68,"H_MACFLA01","Haemoproteus",249,TRUE,"dropped"
68,"H_PTIVIC02","Haemoproteus",479,FALSE,"kept"
69,"H_SALMAX03","Haemoproteus",478,TRUE,"kept"
69,"H_SERUT04","Haemoproteus",285,TRUE,"dropped"
70,"H_CARCAR10","Haemoproteus",477,TRUE,"dropped"
70,"H_DENPET01","Haemoproteus",285,TRUE,"dropped"
70,"H_SIAMEX01","Haemoproteus",479,FALSE,"kept"
71,"H_SPISEN01","Haemoproteus",479,FALSE,"kept"
71,"H_STSEN1_Haemoproteus_turtur","Haemoproteus",361,TRUE,"dropped"
72,"H_STRCAP01","Haemoproteus",479,FALSE,"kept"
72,"H_STRSEM01","Haemoproteus",448,TRUE,"dropped"
73,"H_ASOT07","Haemoproteus",432,TRUE,"dropped"
73,"H_STRURA03","Haemoproteus",478,TRUE,"kept"
74,"H_LWT3","Haemoproteus",305,TRUE,"dropped"
74,"H_SYCUR03","Haemoproteus",478,TRUE,"kept"
75,"H_LEPRUF01","Haemoproteus",305,TRUE,"dropped"
75,"H_TACCRI01","Haemoproteus",477,TRUE,"kept"
76,"H_ASCLA01","Haemoproteus",413,TRUE,"dropped"
76,"H_THAMEL01","Haemoproteus",464,TRUE,"kept"
77,"H_TUPHI01_Haemoproteus_asymmetricus","Haemoproteus",479,FALSE,"kept"
77,"H_TUPHI01_Haemoproteus_minutus","Haemoproteus",479,FALSE,"dropped"
78,"H_TURAMA06","Haemoproteus",477,TRUE,"kept"
78,"P_TURALB06","Plasmodium",477,TRUE,"dropped"
79,"H_TURSTR01","Haemoproteus",301,TRUE,"dropped"
79,"H_TURSTR03","Haemoproteus",479,FALSE,"kept"
80,"H_TURTYM01_Haemoproteus_multivolutinus","Haemoproteus",389,TRUE,"dropped"
80,"H_TURTYM02","Haemoproteus",479,FALSE,"kept"
81,"H_TYTAL1","Haemoproteus",432,TRUE,"dropped"
81,"H_TYTAL4","Haemoproteus",479,FALSE,"kept"
82,"H_TYTAL2","Haemoproteus",432,TRUE,"dropped"
82,"H_TYTAL8","Haemoproteus",479,FALSE,"kept"
83,"H_VIOLI02","Haemoproteus",476,TRUE,"dropped"
83,"H_VIOLI11","Haemoproteus",479,FALSE,"kept"
84,"H_SERUT02","Haemoproteus",285,TRUE,"dropped"
84,"H_VIRHUT01","Haemoproteus",477,TRUE,"kept"
85,"H_ZEGAL06_Haemoproteus_multipigmentatus","Haemoproteus",388,TRUE,"dropped"
85,"H_ZEGAL07_Haemoproteus_multipigmentatus","Haemoproteus",457,TRUE,"kept"
86,"H_APSPI01","Haemoproteus",449,TRUE,"dropped"
86,"H_ZOCAP08","Haemoproteus",479,FALSE,"kept"
87,"H_CHLOP01","Haemoproteus",464,TRUE,"dropped"
87,"H_HELVIO02","Haemoproteus",454,TRUE,"dropped"
87,"H_ZOCAP14_Haemoproteus_erythrogravidus","Haemoproteus",479,FALSE,"kept"
88,"H_THRBON01","Haemoproteus",471,TRUE,"dropped"
88,"H_TROAED17","Haemoproteus",455,TRUE,"dropped"
88,"H_ZOCAP19","Haemoproteus",479,FALSE,"kept"
89,"H_ZOSFLA01","Haemoproteus",305,TRUE,"dropped"
89,"H_ZOSLAT04_Haemoproteus_zosteropis","Haemoproteus",479,FALSE,"kept"
90,"H_ZOSLUG01","Haemoproteus",479,FALSE,"kept"
90,"H_ZOSLUG02","Haemoproteus",442,TRUE,"dropped"
91,"H_ZOSPAL01","Haemoproteus",305,TRUE,"dropped"
91,"H_ZOSPAL06","Haemoproteus",476,TRUE,"kept"
92,"H_ZOMON01","Haemoproteus",464,TRUE,"dropped"
92,"H_ZOSPAL02","Haemoproteus",458,TRUE,"dropped"
92,"H_ZOSPAL07","Haemoproteus",479,FALSE,"kept"
93,"H_ZOSLAT11_Haemoproteus_zosteropis","Haemoproteus",447,TRUE,"dropped"
93,"H_ZOSXAN02_Haemoproteus_zosteropis","Haemoproteus",465,TRUE,"kept"
94,"L_ACAFLA02","Leucocytozoon",479,FALSE,"kept"
94,"L_CARFLA04","Leucocytozoon",476,TRUE,"dropped"
95,"L_ACAFLA03","Leucocytozoon",479,FALSE,"kept"
95,"L_SEINOV02","Leucocytozoon",464,TRUE,"dropped"
96,"L_ACCBRE01","Leucocytozoon",361,TRUE,"dropped"
96,"L_ACCBRE02","Leucocytozoon",479,FALSE,"kept"
97,"L_AFR176","Leucocytozoon",476,TRUE,"kept"
97,"L_AFR241","Leucocytozoon",458,TRUE,"dropped"
98,"L_ANACRE02","Leucocytozoon",479,FALSE,"kept"
98,"L_ANACU02","Leucocytozoon",358,TRUE,"dropped"
99,"L_ANSFAB01","Leucocytozoon",479,FALSE,"kept"
99,"L_TUSW01","Leucocytozoon",423,TRUE,"dropped"
100,"L_ANTTRI02","Leucocytozoon",454,TRUE,"kept"
100,"L_TRPIP3","Leucocytozoon",422,TRUE,"dropped"
101,"L_APSPI12","Leucocytozoon",478,TRUE,"kept"
101,"L_SEPSEP01","Leucocytozoon",446,TRUE,"dropped"
102,"L_BUTJAM04","Leucocytozoon",479,FALSE,"kept"
102,"L_BUTLIN01","Leucocytozoon",361,TRUE,"dropped"
103,"L_AKGPL03","Leucocytozoon",425,TRUE,"dropped"
103,"L_CALMIN01","Leucocytozoon",471,TRUE,"kept"
104,"L_CARBAR01","Leucocytozoon",477,TRUE,"kept"
104,"L_ZOCAP05","Leucocytozoon",424,TRUE,"dropped"
105,"L_CATBIC07","Leucocytozoon",443,TRUE,"dropped"
105,"L_CATFUS17","Leucocytozoon",477,TRUE,"kept"
106,"L_CATFUS18","Leucocytozoon",477,TRUE,"kept"
106,"L_CATMIN08","Leucocytozoon",443,TRUE,"dropped"
107,"L_CATMIN05","Leucocytozoon",479,FALSE,"kept"
107,"L_CATUST11","Leucocytozoon",443,TRUE,"dropped"
108,"L_CATUST14","Leucocytozoon",479,FALSE,"kept"
108,"L_GEOTRI07","Leucocytozoon",304,TRUE,"dropped"
109,"L_CIAE02","Leucocytozoon",479,FALSE,"kept"
109,"L_TYTAL12","Leucocytozoon",450,TRUE,"dropped"
110,"L_CLAHYE01","Leucocytozoon",479,FALSE,"kept"
110,"L_TUSW02","Leucocytozoon",423,TRUE,"dropped"
111,"L_CNEORN01","Leucocytozoon",479,FALSE,"kept"
111,"L_DENCOR06","Leucocytozoon",435,TRUE,"dropped"
111,"L_SILUT01","Leucocytozoon",446,TRUE,"dropped"
112,"L_COBRA03","Leucocytozoon",476,TRUE,"kept"
112,"L_CORCAU03","Leucocytozoon",424,TRUE,"dropped"
113,"L_COBRA09","Leucocytozoon",476,TRUE,"kept"
113,"L_PICNUT01","Leucocytozoon",475,TRUE,"dropped"
114,"L_COCOR16","Leucocytozoon",479,FALSE,"kept"
114,"L_CORMAC01","Leucocytozoon",305,TRUE,"dropped"
115,"L_COLBF01","Leucocytozoon",477,TRUE,"kept"
115,"L_COLBF09","Leucocytozoon",472,TRUE,"dropped"
116,"L_COLPAS08","Leucocytozoon",479,FALSE,"kept"
116,"L_TURMIG11","Leucocytozoon",477,TRUE,"dropped"
117,"L_COCOR03","Leucocytozoon",477,TRUE,"dropped"
117,"L_CORMAC03","Leucocytozoon",479,FALSE,"kept"
118,"L_CYASTE04","Leucocytozoon",475,TRUE,"dropped"
118,"L_CYASTE07","Leucocytozoon",476,TRUE,"kept"
119,"L_APSPI05","Leucocytozoon",447,TRUE,"dropped"
119,"L_DIUDIU11","Leucocytozoon",477,TRUE,"kept"
120,"L_APSPI04","Leucocytozoon",424,TRUE,"dropped"
120,"L_ELAALB05","Leucocytozoon",477,TRUE,"kept"
121,"H_PARUS64","Haemoproteus",432,TRUE,"dropped"
121,"L_EMGOD06","Leucocytozoon",479,FALSE,"kept"
122,"H_PARVEN01","Haemoproteus",405,TRUE,"dropped"
122,"L_FICZAN14","Leucocytozoon",479,FALSE,"kept"
123,"L_BUTBUT05","Leucocytozoon",457,TRUE,"dropped"
123,"L_GALLUS34","Leucocytozoon",479,FALSE,"kept"
124,"L_GALLUS41","Leucocytozoon",445,TRUE,"dropped"
124,"L_GALLUS63","Leucocytozoon",479,FALSE,"kept"
125,"L_CATMIN07","Leucocytozoon",443,TRUE,"dropped"
125,"L_HYLMUS02","Leucocytozoon",477,TRUE,"kept"
126,"L_HYPAM01","Leucocytozoon",277,TRUE,"dropped"
126,"L_HYPAM03","Leucocytozoon",479,FALSE,"kept"
127,"L_CORCAU02","Leucocytozoon",425,TRUE,"dropped"
127,"L_JUHYE21","Leucocytozoon",477,TRUE,"kept"
128,"L_OTSCO02","Leucocytozoon",305,TRUE,"dropped"
128,"L_OTUSCO03","Leucocytozoon",479,FALSE,"kept"
129,"L_AFR238","Leucocytozoon",458,TRUE,"dropped"
129,"L_PASDIF03","Leucocytozoon",479,FALSE,"kept"
130,"L_PERATE07","Leucocytozoon",479,FALSE,"kept"
130,"L_PERATE08","Leucocytozoon",444,TRUE,"dropped"
130,"L_PERATE09","Leucocytozoon",479,FALSE,"dropped"
131,"L_PARUS37","Leucocytozoon",392,TRUE,"dropped"
131,"L_PICVIR01","Leucocytozoon",479,FALSE,"kept"
132,"L_REB11","Leucocytozoon",479,FALSE,"kept"
132,"L_REB12L","Leucocytozoon",467,TRUE,"dropped"
133,"L_SETAUD27","Leucocytozoon",450,TRUE,"dropped"
133,"L_SETCOR06","Leucocytozoon",479,FALSE,"kept"
134,"L_PHEMEL01","Leucocytozoon",475,TRUE,"dropped"
134,"L_SPIPAS07","Leucocytozoon",479,FALSE,"kept"
135,"L_STAL3","Leucocytozoon",477,TRUE,"dropped"
135,"L_STRALU01","Leucocytozoon",478,TRUE,"kept"
136,"L_SYAT42","Leucocytozoon",432,TRUE,"dropped"
136,"L_SYCON05","Leucocytozoon",479,FALSE,"kept"
137,"L_SYBOR25","Leucocytozoon",469,TRUE,"dropped"
137,"L_SYCON06","Leucocytozoon",479,FALSE,"kept"
138,"L_POEMON03","Leucocytozoon",476,TRUE,"dropped"
138,"L_TARCYA01","Leucocytozoon",479,FALSE,"kept"
138,"P_PARVEN02","Plasmodium",428,TRUE,"dropped"
139,"L_THLORN01","Leucocytozoon",478,TRUE,"kept"
139,"L_TROAED10","Leucocytozoon",415,TRUE,"dropped"
140,"L_TROAED02","Leucocytozoon",478,TRUE,"kept"
140,"L_ZOCAP06","Leucocytozoon",422,TRUE,"dropped"
141,"L_TUPHI02","Leucocytozoon",445,TRUE,"dropped"
141,"L_TUPHI13","Leucocytozoon",479,FALSE,"kept"
142,"L_TUMER02","Leucocytozoon",476,TRUE,"dropped"
142,"L_TUREUN01","Leucocytozoon",479,FALSE,"kept"
143,"L_TUFAL04","Leucocytozoon",301,TRUE,"dropped"
143,"L_TURFAL05","Leucocytozoon",477,TRUE,"kept"
144,"L_TURMER11","Leucocytozoon",476,TRUE,"kept"
144,"L_TURMER12","Leucocytozoon",476,TRUE,"dropped"
144,"L_TURMER13","Leucocytozoon",476,TRUE,"dropped"
145,"L_TROAED08","Leucocytozoon",448,TRUE,"dropped"
145,"L_TURSER01","Leucocytozoon",479,FALSE,"kept"
146,"P_AEDVEX01","Plasmodium",479,FALSE,"kept"
146,"P_EMHOR1","Plasmodium",361,TRUE,"dropped"
147,"P_ALEDIA01","Plasmodium",479,FALSE,"kept"
147,"P_RBQ16","Plasmodium",210,TRUE,"dropped"
148,"P_AMMAUR01","Plasmodium",479,FALSE,"kept"
148,"P_SEIAUR02","Plasmodium",368,TRUE,"dropped"
149,"P_APSPI14","Plasmodium",478,TRUE,"kept"
149,"P_ZOCAP03","Plasmodium",449,TRUE,"dropped"
150,"P_BAEBIC02_Plasmodium_homopolare","Plasmodium",479,FALSE,"kept"
150,"P_TABI07","Plasmodium",285,TRUE,"dropped"
151,"P_BAEBIC01","Plasmodium",368,TRUE,"dropped"
151,"P_BAEBIC04","Plasmodium",479,FALSE,"kept"
152,"P_BAHYP01","Plasmodium",478,TRUE,"kept"
152,"P_VOLJAC01","Plasmodium",249,TRUE,"dropped"
153,"P_BT7","Plasmodium",479,FALSE,"kept"
153,"P_PARUS2","Plasmodium",409,TRUE,"dropped"
154,"P_BUBBUB03","Plasmodium",479,FALSE,"kept"
154,"P_ZOSBRU01","Plasmodium",210,TRUE,"dropped"
155,"P_CATFUS11","Plasmodium",479,FALSE,"kept"
155,"P_TUMIG05","Plasmodium",368,TRUE,"dropped"
156,"P_CATUST01","Plasmodium",368,TRUE,"dropped"
156,"P_CATUST06","Plasmodium",479,FALSE,"kept"
157,"P_CINCHL01","Plasmodium",479,FALSE,"kept"
157,"P_CINCHL02","Plasmodium",305,TRUE,"dropped"
158,"P_CET01","Plasmodium",470,TRUE,"dropped"
158,"P_COLL13","Plasmodium",479,FALSE,"kept"
159,"P_CUCROC01","Plasmodium",479,FALSE,"kept"
159,"P_SYBOR21","Plasmodium",469,TRUE,"dropped"
160,"P_CURCUR01","Plasmodium",477,TRUE,"kept"
160,"P_ELALB02","Plasmodium",463,TRUE,"dropped"
161,"P_CXPIP21","Plasmodium",479,FALSE,"kept"
161,"P_CXTHE01","Plasmodium",427,TRUE,"dropped"
162,"P_CYAOLI04","Plasmodium",479,FALSE,"kept"
162,"P_NEOLI01","Plasmodium",270,TRUE,"dropped"
163,"P_CYAOLI09_Plasmodium_lucens","Plasmodium",479,FALSE,"kept"
163,"P_NEOBS02","Plasmodium",244,TRUE,"dropped"
164,"P_BELL02","Plasmodium",455,TRUE,"dropped"
164,"P_CYNOV1","Plasmodium",479,FALSE,"kept"
165,"P_CINPRE02","Plasmodium",340,TRUE,"dropped"
165,"P_CYAOLI10","Plasmodium",276,TRUE,"dropped"
165,"P_DELFRA04","Plasmodium",479,FALSE,"kept"
166,"P_CORCAU05","Plasmodium",425,TRUE,"dropped"
166,"P_DENCOR09","Plasmodium",477,TRUE,"kept"
167,"H_EMGOD01","Haemoproteus",432,TRUE,"dropped"
167,"P_DENVID02","Plasmodium",479,FALSE,"kept"
168,"P_DIGCYA02","Plasmodium",456,TRUE,"dropped"
168,"P_DIGLAF01_Plasmodium_lutzi","Plasmodium",479,FALSE,"kept"
169,"P_FICZAN23","Plasmodium",479,FALSE,"kept"
169,"P_GRW02_Plasmodium_ashfordi","Plasmodium",478,TRUE,"dropped"
170,"P_FOUOMI04","Plasmodium",479,FALSE,"kept"
170,"P_NESOU01","Plasmodium",463,TRUE,"dropped"
171,"P_GEOTRI06","Plasmodium",479,FALSE,"kept"
171,"P_LARINC02","Plasmodium",361,TRUE,"dropped"
172,"P_GEOTRI09","Plasmodium",479,FALSE,"kept"
172,"P_SEINOV01","Plasmodium",368,TRUE,"dropped"
172,"P_SERUT10","Plasmodium",284,TRUE,"dropped"
173,"P_HYLMUS01","Plasmodium",479,FALSE,"kept"
173,"P_TUMIG24","Plasmodium",468,TRUE,"dropped"
174,"P_IOLIND04","Plasmodium",479,FALSE,"kept"
174,"P_PYCCAF01","Plasmodium",305,TRUE,"dropped"
175,"P_DENPEN01","Plasmodium",368,TRUE,"dropped"
175,"P_KEWA01","Plasmodium",478,TRUE,"kept"
176,"P_LINOLI01","Plasmodium",479,FALSE,"kept"
176,"P_RBQ21","Plasmodium",304,TRUE,"dropped"
177,"P_MALCIN01","Plasmodium",479,FALSE,"kept"
177,"P_STANIG02","Plasmodium",446,TRUE,"dropped"
178,"P_MALCOR02","Plasmodium",479,FALSE,"kept"
178,"P_NECASP02","Plasmodium",249,TRUE,"dropped"
179,"P_MALMEL01","Plasmodium",479,FALSE,"kept"
179,"P_RHIAUR01","Plasmodium",437,TRUE,"dropped"
180,"P_MILANS06","Plasmodium",479,FALSE,"kept"
180,"P_TURAF01","Plasmodium",305,TRUE,"dropped"
181,"P_MOLATE01","Plasmodium",479,FALSE,"kept"
181,"P_POOHIS04","Plasmodium",477,TRUE,"dropped"
182,"P_MONFAI01","Plasmodium",479,FALSE,"kept"
182,"P_PORUF03","Plasmodium",446,TRUE,"dropped"
183,"P_ARDALB01","Plasmodium",248,TRUE,"dropped"
183,"P_MYCAME02_Plasmodium_paranucleophilum","Plasmodium",478,TRUE,"kept"
184,"P_NEWAM01","Plasmodium",464,TRUE,"dropped"
184,"P_NEWAM06","Plasmodium",479,FALSE,"kept"
185,"P_LEVER02","Plasmodium",347,TRUE,"dropped"
185,"P_NYCNYC01","Plasmodium",479,FALSE,"kept"
186,"P_PARMIN02","Plasmodium",479,FALSE,"kept"
186,"P_PARUS09","Plasmodium",305,TRUE,"dropped"
187,"P_HYPHI30","Plasmodium",463,TRUE,"dropped"
187,"P_RHIALB02","Plasmodium",464,TRUE,"kept"
188,"P_SATOR01","Plasmodium",463,TRUE,"dropped"
188,"P_SATOR02","Plasmodium",479,FALSE,"kept"
189,"P_CARCAR11","Plasmodium",478,TRUE,"dropped"
189,"P_SEIAUR01_Plasmodium_cathemerium","Plasmodium",479,FALSE,"kept"
189,"P_TABI08","Plasmodium",285,TRUE,"dropped"
190,"P_SEIAUR04","Plasmodium",463,TRUE,"dropped"
190,"P_SETPEN01","Plasmodium",478,TRUE,"kept"
191,"P_SPDEM01","Plasmodium",460,TRUE,"dropped"
191,"P_SPDEM02","Plasmodium",479,FALSE,"kept"
192,"P_SPMEN01","Plasmodium",347,TRUE,"dropped"
192,"P_SPMEN03","Plasmodium",479,FALSE,"kept"
193,"P_PV5","Plasmodium",244,TRUE,"dropped"
193,"P_STEGRA01","Plasmodium",479,FALSE,"kept"
194,"P_PV8","Plasmodium",244,TRUE,"dropped"
194,"P_STIERY01","Plasmodium",479,FALSE,"kept"
195,"P_SALCOE01","Plasmodium",305,TRUE,"dropped"
195,"P_THRPAL01","Plasmodium",478,TRUE,"kept"
196,"P_TUBOU01","Plasmodium",446,TRUE,"dropped"
196,"P_TURMER06","Plasmodium",479,FALSE,"kept"
197,"P_TURUF01","Plasmodium",249,TRUE,"dropped"
197,"P_TURUF03_Plasmodium_unalis","Plasmodium",478,TRUE,"kept"
198,"P_ZOSLAT02","Plasmodium",479,FALSE,"kept"
198,"P_ZOSXAN01","Plasmodium",300,TRUE,"dropped"
